                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.50284,                 1.0572,                0.59569,                0.99124,                0.73681,                0.63158,                0.61062,                0.49973,                0.71937,                0.59713,                0.57632,                0.41111,                0.94659,                  3.423,                 1.4189,                 1.2414,              0.0041135,              0.0041135,              0.0041135
                     24,                0.48834,                0.98433,                0.53308,                0.97012,                0.63316,                0.57895,                0.55248,                0.42145,                0.63316,                0.57895,                0.55476,                0.35236,                 0.9324,                 4.6708,                 1.7493,                 1.2528,              0.0038459,              0.0038459,              0.0038459
                     25,                 0.5092,                0.94953,                0.53932,                 1.0254,                0.64816,                0.57696,                0.54212,                0.41401,                0.64816,                0.57696,                0.52649,                0.33119,                0.94524,                 4.5692,                  1.571,                 1.3446,              0.0035784,              0.0035784,              0.0035784
                     26,                0.44535,                0.92931,                0.46299,                0.98266,                0.65262,                 0.6003,                0.51856,                0.38437,                0.65262,                 0.6003,                0.49036,                0.31349,                0.90463,                 4.4029,                 1.6846,                 1.2597,              0.0033108,              0.0033108,              0.0033108
                     27,                0.49074,                 1.1101,                0.54879,                 1.0044,                0.64042,                0.63158,                0.57579,                0.46642,                0.71772,                0.55263,                0.53798,                0.36523,                0.81752,                 3.6449,                  1.474,                  1.142,              0.0030432,              0.0030432,              0.0030432
                     28,                0.46698,                0.98426,                 0.4573,                0.98786,                0.66323,                0.55263,                0.58717,                0.48657,                0.66323,                0.55263,                0.57482,                0.41019,                0.78289,                 2.9449,                 1.3901,                  1.136,              0.0027757,              0.0027757,              0.0027757
                     29,                0.46394,                 0.9997,                0.47072,                0.96571,                0.71388,                0.54798,                0.60979,                0.48556,                0.71388,                0.54798,                0.60993,                0.42482,                0.88596,                 2.7066,                 1.3715,                 1.1955,              0.0025081,              0.0025081,              0.0025081
                     30,                0.45046,                0.85907,                0.44991,                0.97056,                0.63782,                0.63158,                0.65001,                0.51854,                0.63782,                0.63158,                0.64722,                0.45316,                0.88084,                 2.6115,                 1.3064,                 1.1976,              0.0022405,              0.0022405,              0.0022405
                     31,                0.46382,                0.87191,                0.45438,                0.99174,                0.56239,                0.59053,                0.55444,                0.44166,                0.56239,                0.59053,                0.55016,                0.37792,                  1.017,                 2.9615,                 1.6337,                  1.326,               0.001973,               0.001973,               0.001973
                     32,                0.41403,                 1.0452,                 0.4381,                0.95175,                0.63204,                0.47368,                0.47239,                0.34102,                0.63135,                0.47368,                0.45675,                0.27398,                0.99234,                 3.6597,                 1.9076,                 1.3322,              0.0017054,              0.0017054,              0.0017054
                     33,                0.45517,                 1.0025,                0.45934,                0.96859,                0.58222,                0.54886,                0.52374,                0.37438,                0.58222,                0.54886,                0.47916,                0.28736,                0.98198,                 3.0547,                 1.6831,                 1.3092,              0.0014378,              0.0014378,              0.0014378
                     34,                0.42554,                0.90297,                0.39415,                0.94125,                0.53913,                0.57713,                0.53377,                0.39685,                0.53913,                0.57713,                0.51892,                0.33082,                0.93066,                 3.1422,                 1.6092,                 1.2967,              0.0011703,              0.0011703,              0.0011703
                     35,                0.40142,                 0.7988,                0.40725,                0.96062,                0.61658,                    0.5,                0.54089,                0.42217,                0.61658,                    0.5,                0.53836,                0.35838,                0.89463,                 3.1282,                 1.5802,                 1.2803,              0.0009027,              0.0009027,              0.0009027
                     36,                 0.4108,                0.79915,                0.39662,                0.94179,                0.55508,                0.59927,                0.55346,                0.43806,                0.55508,                0.59927,                0.54953,                0.37221,                0.87655,                 2.9927,                 1.5556,                 1.2613,             0.00063514,             0.00063514,             0.00063514
