                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.63503,                 1.3319,                 1.0558,                 1.0244,                0.57089,                0.63858,                0.57136,                0.37006,                0.49134,                0.55263,                0.40166,                0.28232,                 1.0537,                 4.0549,                 1.8091,                 1.3538,              0.0041135,              0.0041135,              0.0041135
                     24,                0.59957,                 1.3473,                 1.0612,                0.99804,                0.73579,                0.49962,                0.55354,                0.40687,                0.55025,                0.52632,                0.47428,                0.32837,                 1.0585,                  3.869,                 1.7504,                  1.334,              0.0038459,              0.0038459,              0.0038459
                     25,                0.61166,                 1.2213,                 1.0341,                 1.0451,                0.73967,                0.54599,                0.55458,                0.39849,                0.58217,                0.55263,                0.48958,                0.32241,                 1.0448,                 3.7016,                 1.7897,                 1.3229,              0.0035784,              0.0035784,              0.0035784
                     26,                0.55195,                 1.2109,                0.95865,                 1.0205,                0.73698,                0.59952,                0.58209,                0.40247,                0.60632,                0.53086,                0.46913,                0.32363,                 1.0767,                   3.25,                 1.8231,                 1.3317,              0.0033108,              0.0033108,              0.0033108
                     27,                0.58586,                 1.3241,                 1.0406,                 1.0148,                0.55742,                0.56583,                0.51335,                0.37339,                0.52269,                0.47368,                0.44161,                0.30584,                  1.057,                 3.6249,                 1.9356,                 1.3036,              0.0030432,              0.0030432,              0.0030432
                     28,                0.57819,                 1.1389,                0.93936,                 1.0131,                 0.7049,                0.57895,                0.52745,                0.35606,                0.63406,                    0.5,                0.41461,                0.27261,                 1.0414,                 3.3798,                 1.9352,                 1.3294,              0.0027757,              0.0027757,              0.0027757
                     29,                0.57719,                 1.2483,                0.94198,                 0.9877,                0.69774,                0.60526,                0.55775,                0.32373,                0.60032,                0.52632,                0.42824,                0.26269,                 1.2232,                 3.1679,                 1.9581,                 1.5209,              0.0025081,              0.0025081,              0.0025081
                     30,                0.56577,                 1.0564,                0.92875,                 1.0101,                0.67835,                0.54296,                 0.5219,                0.34979,                0.67179,                0.54244,                0.47929,                0.27097,                 1.1231,                 3.2981,                 1.8674,                 1.3642,              0.0022405,              0.0022405,              0.0022405
                     31,                0.59382,                 1.2471,                 0.9261,                  1.025,                0.77381,                    0.5,                0.57934,                0.41232,                0.69779,                0.44737,                0.51111,                0.36828,                 1.0477,                 3.2663,                  1.844,                 1.2548,               0.001973,               0.001973,               0.001973
                     32,                0.54278,                 1.2969,                0.89038,                0.98426,                0.65948,                0.58216,                0.56955,                0.38972,                0.59546,                0.49033,                0.48281,                0.33965,                 1.1124,                 3.2132,                 1.8561,                 1.3752,              0.0017054,              0.0017054,              0.0017054
                     33,                0.58072,                 1.2775,                0.92016,                 1.0265,                0.67223,                0.54877,                0.55649,                0.39201,                 0.5882,                0.47368,                0.47257,                0.31921,                 1.0673,                 2.9374,                 1.8427,                 1.3375,              0.0014378,              0.0014378,              0.0014378
                     34,                0.53314,                 1.1237,                0.85095,                0.97022,                 0.5942,                0.53744,                0.54078,                0.36637,                0.56354,                0.44381,                0.43996,                0.30859,                 1.1013,                 2.9949,                 1.9337,                 1.3691,              0.0011703,              0.0011703,              0.0011703
                     35,                0.52547,                 1.0386,                0.88368,                0.99294,                0.57348,                0.55263,                0.54942,                0.36518,                0.51235,                0.47368,                0.44652,                0.30754,                 1.1153,                 3.1419,                 1.9287,                 1.4286,              0.0009027,              0.0009027,              0.0009027
                     36,                0.52942,                 1.0707,                0.84708,                0.97311,                0.65169,                0.57895,                0.54857,                0.36309,                0.63792,                0.51845,                0.48808,                0.31673,                 1.1212,                 2.8739,                 1.9212,                 1.3717,             0.00063514,             0.00063514,             0.00063514
