                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                0.50205,                 1.0132,                0.51573,                 1.0103,                0.66636,                0.55263,                0.55671,                0.37598,                0.60747,                    0.5,                0.50206,                0.30889,                  1.047,                 4.3604,                 1.6549,                  1.464,              0.0041135,              0.0041135,              0.0041135
                     24,                0.45794,                0.94446,                   0.45,                0.97338,                0.65783,                0.57895,                0.60202,                0.43388,                0.65783,                0.57895,                0.57509,                0.36638,                 1.0143,                 3.6928,                 1.4781,                 1.3934,              0.0038459,              0.0038459,              0.0038459
                     25,                0.48666,                0.92146,                0.45249,                 1.0136,                0.63706,                0.57895,                0.56095,                0.42143,                0.63706,                0.57895,                 0.5405,                0.33617,                0.98867,                 3.9707,                 1.5959,                 1.3084,              0.0035784,              0.0035784,              0.0035784
                     26,                0.42155,                0.87797,                0.41104,                0.97423,                0.83876,                0.55032,                0.54734,                0.42896,                0.77368,                0.53518,                 0.5317,                0.33252,                 1.0381,                 3.7364,                 1.4529,                 1.3027,              0.0033108,              0.0033108,              0.0033108
                     27,                0.48862,                 1.0045,                0.51137,                 1.0029,                0.71893,                0.54289,                0.56107,                 0.4074,                0.74879,                0.52054,                 0.5231,                0.31135,                 1.1611,                 3.6901,                 1.5141,                 1.4379,              0.0030432,              0.0030432,              0.0030432
                     28,                0.43842,                0.90158,                0.41684,                0.97303,                0.71931,                0.60764,                0.61105,                0.44241,                0.67056,                0.58254,                0.55688,                0.37509,                 1.0342,                 3.5431,                 1.4539,                 1.3415,              0.0027757,              0.0027757,              0.0027757
                     29,                0.45144,                0.95913,                0.44104,                0.97596,                0.64666,                0.71323,                0.65599,                 0.5056,                0.70585,                0.65789,                0.62367,                0.40994,                0.92176,                 2.9449,                 1.3077,                  1.219,              0.0025081,              0.0025081,              0.0025081
                     30,                0.45496,                0.77724,                0.41595,                0.99057,                 0.7347,                0.57623,                0.68375,                0.52008,                0.76612,                 0.6255,                0.67495,                0.44686,                0.94204,                   3.16,                    1.4,                 1.2532,              0.0022405,              0.0022405,              0.0022405
                     31,                0.46105,                0.90465,                0.43498,                0.99423,                0.73949,                0.59957,                0.64825,                 0.5002,                0.79771,                0.57895,                 0.6494,                0.42524,                 0.9164,                 3.2611,                 1.2873,                 1.2558,               0.001973,               0.001973,               0.001973
                     32,                0.41527,                 1.0545,                0.39862,                0.96297,                0.85634,                0.57895,                0.66979,                0.54351,                0.89326,                0.60526,                0.67085,                0.42706,                0.84165,                 3.1876,                 1.1637,                 1.1197,              0.0017054,              0.0017054,              0.0017054
                     33,                0.43783,                0.94502,                0.43265,                0.96962,                0.99544,                0.55088,                 0.6867,                  0.568,                 0.8355,                0.62226,                0.69059,                 0.4672,                0.81427,                 3.3029,                 1.1046,                 1.1144,              0.0014378,              0.0014378,              0.0014378
                     34,                0.41241,                0.86088,                0.38322,                0.95473,                0.87763,                0.57895,                0.71468,                0.57423,                0.83848,                0.55263,                0.64933,                0.45175,                0.78422,                 3.3368,                 1.0715,                 1.1084,              0.0011703,              0.0011703,              0.0011703
                     35,                0.39664,                0.79503,                  0.379,                0.97351,                0.78751,                0.63158,                0.72753,                0.57868,                0.75122,                0.60526,                0.65713,                0.47771,                0.77313,                 3.3422,                 1.0312,                 1.1106,              0.0009027,              0.0009027,              0.0009027
                     36,                0.39641,                0.78248,                0.35627,                0.94295,                0.82909,                0.60526,                0.72904,                0.58828,                0.79218,                0.57895,                0.66885,                0.48604,                0.79183,                 3.3273,                 1.0363,                  1.117,             0.00063514,             0.00063514,             0.00063514
